App Name,Publisher,Link,Full Description,Shared Data,Collected Data,Security Practices
AI Video Generator - Clips AI,UNIVERLIST TEKNOLOJI SAN. VE TIC. AS.,https://play.google.com/store/apps/details?id=com.univenn.videogen,Transform Text To Videos & Image To Videos Instantly,"App activity, Location, Financial info, Device or other IDs, App info and performance","App activity, Personal info","Data is encrypted in transit, Data can’t be deleted"
"IMGIT AI Art, Avatar Generator",Imgit AI art generator,https://play.google.com/store/apps/details?id=ai.imgit.art_generator,"Turn your words into images, design stunning portraits from your selfie photos.","App activity, Device or other IDs","App activity, Device or other IDs","Data is encrypted in transit, Data can’t be deleted"
AI Chatbot & AI Writer - Spark,Spark AI,https://play.google.com/store/apps/details?id=ai.spark.chatbot,Open chat with AI chat bot app. AI writer & text generator for any writing task.,,"App activity, Device or other IDs, App info and performance","Data is encrypted in transit, You can request that data be deleted"
AI Chat - AI Chatbot Assistant,Sage AI,https://play.google.com/store/apps/details?id=ai.chat.gpt.app,"ChatGPT-powered AI Chat. AI Chatbot, AI Assistant powered by ChatGPT","Location, App activity, Financial info","App info and performance, Location, App activity, Device or other IDs, Financial info","Data is encrypted in transit, Data can’t be deleted"
AI Chat - Deep AI Assistant,AppStation Studio,https://play.google.com/store/apps/details?id=com.appstation.chatgpt,Use AI Chat powered by ChatGPT & DeepSeek. Get quick answers from AI chatbot!,,"Device or other IDs, App info and performance","Data is encrypted in transit, You can request that data be deleted"
Smart Writer: AI Writer,Markedo,https://play.google.com/store/apps/details?id=com.smartwriter.smart_writer,"AI-powered writing assistant that helps you write better, faster, and smarter.",Personal info,,"Data isn’t encrypted, You can request that data be deleted, Committed to follow the Play Families Policy"
AI Art Generator: AI Picture,TAPUNIVERSE,https://play.google.com/store/apps/details?id=com.tapuniverse.aiartgenerator,An AI picture generator to create stunning AI drawing,,Device or other IDs,"Data is encrypted in transit, Data can’t be deleted"
AI Hub: 50+ models LLM in 1min,Tripical LLC,https://play.google.com/store/apps/details?id=vn.tripical.ai,"Multi-AI ChatLLM by Mistral AI, Qwen, DeepSeek R1 distill Llama, with a coze UI",,"Location, Device or other IDs, App activity, App info and performance","Data is encrypted in transit, Data can’t be deleted"
AI ChatBot AI Generator GPTalk,VIDEOSHOW Video Editor & Maker & AI Chat Generator,https://play.google.com/store/apps/details?id=com.facebook.videodownload.videodownloaderforfacebook,GPTalk AI Chat bot Ask AI Assistant AI Charactor AI Writter AI Helper AI Friend,"Device or other IDs, App info and performance","Location, Financial info","Data is encrypted in transit, Data can’t be deleted"
Chat AI - Ask Anything,ElevenThirteen,https://play.google.com/store/apps/details?id=com.chat.gtp,AI Chatbot & Essay Writer,"Messages, Financial info, Device or other IDs, Personal info, App info and performance, App activity","Messages, Financial info, Device or other IDs, Personal info, App info and performance, App activity","Data is encrypted in transit, You can request that data be deleted"
Jarvis - AI GPT4 Chatbot,Finally Free Productions Corp.,https://play.google.com/store/apps/details?id=com.ffp.jarvis_chat_gpt,Jarvis is POWERED by GPT4!,,,"Data isn’t encrypted, You can request that data be deleted"
ai LaMo: Learn AI & Chat GPT,aiLaMo,https://play.google.com/store/apps/details?id=com.ailamo.ailamo,"Master AI & Chat GPT through engaging lessons, fun quizzes & expert content.",,"Financial info, Device or other IDs, App activity, Personal info, App info and performance","Data is encrypted in transit, You can request that data be deleted"
WristAnswers: AI Chat WearOS,Ángel Gabaldón,https://play.google.com/store/apps/details?id=angel.gabaldon.wearosgpt,AI answers for Wear OS. No API key needed. Voice. Reply to AI. Customizable.,,,
Oak AI - Chat AI on Wear OS,F. Soydan,https://play.google.com/store/apps/details?id=com.fsoydan.oakai,Chat with AI assistant powered by GPT 4o on Android and Wear OS,,"App activity, Personal info, Financial info, App info and performance","Data is encrypted in transit, You can request that data be deleted"
